Catalog,Control,Relation,Defensive Technique,Technique
NIST SP 800-53 R5,AC-2(1),broader,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-2(1),broader,[Multi-factor Authentication](https://d3fend.mitre.org/technique/d3f:Multi-factorAuthentication),Multi-factor Authentication
NIST SP 800-53 R5,AC-2(2),broader,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-2(3),broader,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-2(4),related,[Domain Account Monitoring](https://d3fend.mitre.org/technique/d3f:DomainAccountMonitoring),Domain Account Monitoring
NIST SP 800-53 R5,AC-2(5),related,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-2(7),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,AC-2(9),narrower,[User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions),User Account Permissions
NIST SP 800-53 R5,AC-2(13),narrower,[Account Locking](https://d3fend.mitre.org/technique/d3f:AccountLocking),Account Locking
NIST SP 800-53 R5,AC-3,narrower,[Executable Allowlisting](https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting),Executable Allowlisting
NIST SP 800-53 R5,AC-3,narrower,[Executable Denylisting](https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting),Executable Denylisting
NIST SP 800-53 R5,AC-3(8),narrower,[System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering),System Call Filtering
NIST SP 800-53 R5,AC-4,narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
NIST SP 800-53 R5,AC-4,narrower,[Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering),Outbound Traffic Filtering
NIST SP 800-53 R5,AC-4(1),narrower,[Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering),Inbound Traffic Filtering
