# curie_map:
#   nist-csf-2: "https://crosswalker.dev/ontology/nist-csf-2/"
#   nist-800-53: "https://crosswalker.dev/ontology/nist-800-53/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://crosswalker.dev/crosswalks/nist-csf-2-to-nist-800-53"
# subject_source: "nist-csf-2"
# object_source: "nist-800-53"
# mapping_provider: "NIST OLIR"
# mapping_date: "2026-05-04"
subject_id	predicate_id	object_id	mapping_justification	confidence
nist-csf-2:GV.OC-01	skos:relatedMatch	nist-800-53:PM-11	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:SR-3	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:SR-6	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-02	skos:relatedMatch	nist-800-53:SR-8	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:AC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:AT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:AU-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:CA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:CM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:CP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:IA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:IR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:MA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:MP-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PE-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PL-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PM-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PS-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PT-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:RA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:SA-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:SC-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:SI-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:SR-1	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-03	skos:relatedMatch	nist-800-53:PT	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-04	skos:relatedMatch	nist-800-53:PM-8	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-04	skos:relatedMatch	nist-800-53:PM-11	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-04	skos:relatedMatch	nist-800-53:CP-2(8)	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-04	skos:relatedMatch	nist-800-53:PM-30(1)	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-04	skos:relatedMatch	nist-800-53:RA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-05	skos:relatedMatch	nist-800-53:PM-11	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-05	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-05	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-05	skos:relatedMatch	nist-800-53:SA-9	semapv:ManualMappingCuration	
nist-csf-2:GV.OC-05	skos:relatedMatch	nist-800-53:SR-5	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-01	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-01	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-01	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-02	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-03	skos:relatedMatch	nist-800-53:PM-3	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-03	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-03	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-03	skos:relatedMatch	nist-800-53:RA-7	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-03	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-04	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-04	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-04	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-04	skos:relatedMatch	nist-800-53:SR-2	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-05	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-05	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:PM-30	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-06	skos:relatedMatch	nist-800-53:RA-3	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-9	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-18	semapv:ManualMappingCuration	
nist-csf-2:GV.RM-07	skos:relatedMatch	nist-800-53:PM-28	semapv:ManualMappingCuration	
