subject_id,predicate_id,object_id,match_type,mapping_justification,mapping_provider
nist-csf:GV.OC-01,is_equivalent_to,nist:PM-1,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.OC-02,is_equivalent_to,nist:PM-9,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.OC-03,is_equivalent_to,nist:PL-1,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.OC-04,is_broader_than,nist:CP-2,broad,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.OC-05,is_broader_than,nist:SR-2,broad,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.RM-01,is_equivalent_to,nist:PM-9,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.RM-02,is_equivalent_to,nist:PM-9,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.RM-03,is_equivalent_to,nist:PM-11,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.SC-01,is_equivalent_to,nist:SR-1,exact,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.SC-02,is_broader_than,nist:SR-3,broad,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-01,is_equivalent_to,nist:CM-8,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-02,is_equivalent_to,nist:CM-8,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-03,is_approximate_to,nist:AC-4,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-05,is_broader_than,nist:RA-2,broad,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-07,is_equivalent_to,nist:CM-12,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-08,is_broader_than,nist:RA-2,broad,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.RA-01,is_equivalent_to,nist:RA-5,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.RA-02,is_equivalent_to,nist:PM-15,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.OC-01,is_approximate_to,iso27001:A.5.1,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.OC-03,is_equivalent_to,iso27001:A.5.31,exact,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.RM-01,is_equivalent_to,iso27001:A.5.1,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:GV.SC-01,is_equivalent_to,iso27001:A.5.19,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-01,is_equivalent_to,iso27001:A.5.9,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.AM-02,is_equivalent_to,iso27001:A.5.9,close,semapv:ManualMappingCuration,NIST OLIR
nist-csf:ID.RA-01,is_equivalent_to,iso27001:A.8.8,close,semapv:ManualMappingCuration,NIST OLIR
iso27001:A.5.15,is_equivalent_to,nist:AC-1,exact,semapv:ManualMappingCuration,NIST OLIR
iso27001:A.5.15,is_equivalent_to,nist:AC-2,close,semapv:ManualMappingCuration,NIST OLIR
iso27001:A.5.16,is_equivalent_to,nist:IA-2,close,semapv:ManualMappingCuration,NIST OLIR
iso27001:A.5.17,is_equivalent_to,nist:IA-5,close,semapv:ManualMappingCuration,NIST OLIR
iso27001:A.5.18,is_equivalent_to,nist:AC-3,close,semapv:ManualMappingCuration,NIST OLIR
