# curie_map:
#   iso27001: "https://www.iso.org/standard/27001/"
#   soc2: "https://www.aicpa.org/interestareas/frc/assuranceadvisoryservices/sorhome.html"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://example.org/crosswalks/iso27001-to-soc2/v0.1"
# mapping_set_title: "ISO 27001:2022 → SOC 2 (Trust Services Criteria) — control alignment (synthetic test fixture; NOT authoritative)"
# mapping_set_description: "Structural test fixture mapping ISO 27001 Annex A controls to SOC 2 TSC. Structurally modeled after public AICPA + ISO crosswalks; data is synthetic-shape-correct only."
# mapping_provider: "Aggregate of public ISO ↔ SOC 2 crosswalks (structural model only)"
# mapping_date: "2026-05-15"
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# subject_source: "iso27001"
# object_source: "soc2"
subject_id	predicate_id	object_id	match_type	confidence	mapping_justification	subject_label	object_label
iso27001:A.5.1	skos:closeMatch	soc2:CC1.1	close	0.90	semapv:ManualMappingCuration	Policies for information security	COSO Principle 1 — Integrity and Ethical Values
iso27001:A.5.2	skos:closeMatch	soc2:CC1.2	close	0.85	semapv:ManualMappingCuration	Information security roles and responsibilities	COSO Principle 2 — Board Oversight
iso27001:A.5.15	skos:exactMatch	soc2:CC6.1	exact	0.95	semapv:ManualMappingCuration	Access control	Logical Access Security Software
iso27001:A.5.16	skos:closeMatch	soc2:CC6.2	close	0.85	semapv:ManualMappingCuration	Identity management	New User Authorization
iso27001:A.5.17	skos:relatedMatch	soc2:CC6.2	broad	0.70	semapv:ManualMappingCuration	Authentication information	New User Authorization
iso27001:A.5.18	skos:exactMatch	soc2:CC6.1	exact	0.90	semapv:ManualMappingCuration	Access rights	Logical Access Security Software
iso27001:A.5.24	skos:closeMatch	soc2:CC7.1	close	0.80	semapv:ManualMappingCuration	Information security incident management planning and preparation	Detection and Monitoring of Security Events
iso27001:A.5.25	skos:closeMatch	soc2:CC7.1	close	0.85	semapv:ManualMappingCuration	Assessment and decision on information security events	Detection and Monitoring of Security Events
iso27001:A.8.14	skos:relatedMatch	soc2:A1.1	broad	0.75	semapv:ManualMappingCuration	Redundancy of information processing facilities	Availability — Capacity Management
iso27001:A.7.5	skos:relatedMatch	soc2:A1.2	broad	0.70	semapv:ManualMappingCuration	Protecting against physical and environmental threats	Availability — Environmental Protections
